public_unit_id,vehicle_id,status,first_ignition_on,last_ignition_off,ignition_duration,idle_duration
0c7c5480-d46b-41c9-b7a6-15153fe46df7,Y982OO-799,success,2026-05-04T07:11:25+03:00,2026-05-10T10:39:22+03:00,09:18:21,00:42:00
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,success,2026-05-04T13:11:46+03:00,2026-05-10T17:16:43+03:00,07:01:58,00:54:27
1d081b43-c7e1-48a0-8d48-6cd97f723de8,Т671КР31(ТМ),success,2026-05-04T00:00:00+03:00,2026-05-10T16:34:09+03:00,2.23:44:32,11:34:24
203f2a64-e628-4b54-aa08-724b9a55702a,С725АТ159(ТМ),success,2026-05-04T00:00:00+03:00,2026-05-10T14:55:56+03:00,1.02:14:37,23:44:21
39806354-3224-44fa-b475-edc1ae8e41a0,В 693 ЕО/550 RUS,success,2026-05-04T08:28:58+03:00,2026-05-04T17:55:47+03:00,01:45:19,00:25:13
4733730f-4465-47c3-9e2a-137373cd6c52,О802УЕ198,success,2026-05-04T10:59:52+03:00,2026-05-10T21:39:36+03:00,2.03:35:51,1.09:47:29
7da860ea-ff5b-4fbb-a5d0-f89a8d3953b6,А910АА123,success,2026-05-04T08:40:16+03:00,2026-05-08T15:58:28+03:00,11:36:46,01:35:03
