public_unit_id,vehicle_id,date,period_index,period_type,period_duration,track_points,total_parking_duration,total_movement_duration,total_mileage_km,movement_mileage_km,movement_distance_navigation_km,break_distance_navigation_km,distance_odometer_km,source_file
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-06,4,1,00:08:35,22,22:31:03,01:28:57,31.1594801809124,31.08486170841861,31.08486170841861,0.0,30.99997209999492,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-06.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-06,5,2,01:27:15,2,22:31:03,01:28:57,31.1594801809124,31.08486170841861,31.08486170841861,0.0,30.99997209999492,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-06.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-06,6,1,00:39:44,216,22:31:03,01:28:57,31.1594801809124,31.08486170841861,31.08486170841861,0.0,30.99997209999492,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-06.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-06,7,2,00:26:48,2,22:31:03,01:28:57,31.1594801809124,31.08486170841861,31.08486170841861,0.0,30.99997209999492,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-06.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-06,8,1,00:03:48,39,22:31:03,01:28:57,31.1594801809124,31.08486170841861,31.08486170841861,0.0,30.99997209999492,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-06.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-06,9,2,05:15:23,2,22:31:03,01:28:57,31.1594801809124,31.08486170841861,31.08486170841861,0.0,30.99997209999492,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-06.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-07,1,2,04:41:54,2,12:16:44,00:30:02,13.7405005095619,9.932382996905378,9.932382996905378,3.745118499028578,15.99998559999949,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-07.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-07,2,3,02:19:16,2,12:16:44,00:30:02,13.7405005095619,9.932382996905378,9.932382996905378,3.745118499028578,15.99998559999949,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-07.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-07,3,2,00:00:01,2,12:16:44,00:30:02,13.7405005095619,9.932382996905378,9.932382996905378,3.745118499028578,15.99998559999949,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-07.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-07,4,1,00:15:37,45,12:16:44,00:30:02,13.7405005095619,9.932382996905378,9.932382996905378,3.745118499028578,15.99998559999949,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-07.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-07,5,2,01:50:44,2,12:16:44,00:30:02,13.7405005095619,9.932382996905378,9.932382996905378,3.745118499028578,15.99998559999949,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-07.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-07,6,3,00:40:03,2,12:16:44,00:30:02,13.7405005095619,9.932382996905378,9.932382996905378,3.745118499028578,15.99998559999949,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-07.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-07,7,1,00:08:12,11,12:16:44,00:30:02,13.7405005095619,9.932382996905378,9.932382996905378,3.745118499028578,15.99998559999949,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-07.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-07,8,2,04:42:24,2,12:16:44,00:30:02,13.7405005095619,9.932382996905378,9.932382996905378,3.745118499028578,15.99998559999949,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-07.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-07,9,1,00:06:13,27,12:16:44,00:30:02,13.7405005095619,9.932382996905378,9.932382996905378,3.745118499028578,15.99998559999949,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-07.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-07,10,2,01:01:41,2,12:16:44,00:30:02,13.7405005095619,9.932382996905378,9.932382996905378,3.745118499028578,15.99998559999949,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-07.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-08,1,3,14:10:02,1,06:48:45,01:25:51,45.7180200234569,34.58558602896295,34.58558602896295,10.912563166819794,29.999972999998135,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-08.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-08,2,1,00:03:59,38,06:48:45,01:25:51,45.7180200234569,34.58558602896295,34.58558602896295,10.912563166819794,29.999972999998135,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-08.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-08,3,2,00:23:22,2,06:48:45,01:25:51,45.7180200234569,34.58558602896295,34.58558602896295,10.912563166819794,29.999972999998135,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-08.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-08,4,1,00:10:28,92,06:48:45,01:25:51,45.7180200234569,34.58558602896295,34.58558602896295,10.912563166819794,29.999972999998135,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-08.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-08,5,2,00:25:47,2,06:48:45,01:25:51,45.7180200234569,34.58558602896295,34.58558602896295,10.912563166819794,29.999972999998135,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-08.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-08,6,1,00:42:59,234,06:48:45,01:25:51,45.7180200234569,34.58558602896295,34.58558602896295,10.912563166819794,29.999972999998135,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-08.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-08,7,2,02:17:39,2,06:48:45,01:25:51,45.7180200234569,34.58558602896295,34.58558602896295,10.912563166819794,29.999972999998135,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-08.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-08,8,1,00:26:03,170,06:48:45,01:25:51,45.7180200234569,34.58558602896295,34.58558602896295,10.912563166819794,29.999972999998135,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-08.json
15496638-f67f-4170-a300-6a965607ca02,А 230 КУ/550 RUS,2026-05-08,9,2,02:48:08,2,06:48:45,01:25:51,45.7180200234569,34.58558602896295,34.58558602896295,10.912563166819794,29.999972999998135,datasets/raw/bo_tracks_by_unit_day_15496638_2026-05-08.json
