vehicle_id,legacy_unit_id,unit_title,fuel_sensor_title,fuel_spent_l,begin_volume_l,end_volume_l,min_volume_l,max_volume_l,fillings_up_volume_l,fillings_down_volume_l,fuelings_count,defuelings_count,average_speed_kmh,total_mileage_km,average_consumption_l_per_100km,fuel_engine_hour_consumption_l_per_h,source_file
А144ЕВ193,261581,Mitsubishi А144ЕВ193 (MMCJJKL10NH016452),Уровень топлива 1 (Основной бак),108.0,13.0,31.6,11.5,75.0,125.6,0.0,3.0,0.0,57.3,997.3,10.8,4.9,Топливо/А144ЕВ193/Зис/27.04-03.05.json
А916МВ03,265524,Volkswagen А916МВ03 (WV2ZZZ7HZHX004576),Уровень топлива 1 (Основной бак),86.0,39.0,65.0,26.0,69.0,111.0,0.0,3.0,0.0,54.5,935.4,9.2,3.1,Топливо/А916МВ03/Зис/27.04-03.05.json
Е551ОТ196,264398,GAZ Е551ОТ196 (X96330230G2663665),Уровень топлива 1 (Основной бак),74.2,16.7,42.1,13.4,64.4,99.7,0.0,3.0,0.0,47.7,431.0,17.2,7.6,Топливо/Е551ОТ196/Зис/27.04-03.05.json
Е992НК763,264560,Toyota Е992НК763 (XW7BZYHK80S117387),Уровень топлива 1 (Основной бак),102.8,11.4,54.0,4.3,58.0,144.9,0.0,3.0,0.0,36.8,830.2,12.4,3.2,Топливо/Е992НК763/Зис/27.04-03.05.json
М119ОА198,261669,Lada М119ОА198 (XTAKS045LN1438987),Уровень топлива 1 (Основной бак),76.0,16.0,38.0,14.0,51.0,98.0,0.0,3.0,0.0,60.6,698.3,10.9,2.5,Топливо/М119ОА198/Зис/27.04-03.05.json
М183АВ164,267246,Sollers М183АВ164 (XU6285791PS000161),Уровень топлива 1 (Основной бак),92.0,48.0,58.4,26.4,76.8,102.4,0.0,3.0,0.0,52.9,901.4,10.2,4.7,Топливо/М183АВ164/Зис/27.04-03.05.json
Н767СУ69,261752,Lada Н767СУ69 (XTAKS045LM1333059),Уровень топлива 1 (Основной бак),81.1,28.7,35.4,16.2,49.0,89.9,0.0,3.0,0.0,59.6,1161.3,7.0,3.3,Топливо/Н767СУ69/Зис/27.04-03.05.json
Н986ЕВ126,261877,Great Wall Н986ЕВ126 (LGWDAE197PJ650870),Уровень топлива 1 (Основной бак),123.3,28.0,36.0,13.0,76.0,132.0,0.0,3.0,0.0,68.7,1057.9,11.7,4.0,Топливо/Н986ЕВ126/Зис/27.04-03.05.json
С307ОЕ89,267593,Haval С307ОЕ89 (LGWDAE196PJ636717),Уровень топлива 1 (Основной бак),137.0,13.0,28.0,13.0,74.0,152.0,0.0,3.0,0.0,73.1,1368.9,10.0,5.2,Топливо/С307ОЕ89/Зис/27.04-03.05.json
